Age Group,Date of Death,7-Day Average
0-1,03/06/20,NA
0-1,03/07/20,NA
0-1,03/08/20,NA
0-1,03/09/20,NA
0-1,03/10/20,NA
0-1,03/11/20,NA
0-1,03/12/20,0
0-1,03/13/20,0
0-1,03/14/20,0
0-1,03/15/20,0
0-1,03/16/20,0
0-1,03/17/20,0
0-1,03/18/20,0
0-1,03/19/20,0
0-1,03/20/20,0
0-1,03/21/20,0
0-1,03/22/20,0
0-1,03/23/20,0
0-1,03/24/20,0
0-1,03/25/20,0
0-1,03/26/20,0
0-1,03/27/20,0
0-1,03/28/20,0
0-1,03/29/20,0
0-1,03/30/20,0
0-1,03/31/20,0
0-1,04/01/20,0
0-1,04/02/20,0
0-1,04/03/20,0
0-1,04/04/20,0
0-1,04/05/20,0
0-1,04/06/20,0
0-1,04/07/20,0
0-1,04/08/20,0
0-1,04/09/20,0
0-1,04/10/20,0
0-1,04/11/20,0
0-1,04/12/20,0
0-1,04/13/20,0
0-1,04/14/20,0
0-1,04/15/20,0
0-1,04/16/20,0
0-1,04/17/20,0
0-1,04/18/20,0
0-1,04/19/20,0
0-1,04/20/20,0
0-1,04/21/20,0
0-1,04/22/20,0
0-1,04/23/20,0
0-1,04/24/20,0
0-1,04/25/20,0
0-1,04/26/20,0
0-1,04/27/20,0
0-1,04/28/20,0
0-1,04/29/20,0
0-1,04/30/20,0
0-1,05/01/20,0
0-1,05/02/20,0
0-1,05/03/20,0
0-1,05/04/20,0
0-1,05/05/20,0
0-1,05/06/20,0
0-1,05/07/20,0
0-1,05/08/20,0
0-1,05/09/20,0
0-1,05/10/20,0
0-1,05/11/20,0
0-1,05/12/20,0
0-1,05/13/20,0
0-1,05/14/20,0
0-1,05/15/20,0
0-1,05/16/20,0
0-1,05/17/20,0
0-1,05/18/20,0
0-1,05/19/20,0
0-1,05/20/20,0
0-1,05/21/20,0
0-1,05/22/20,0
0-1,05/23/20,0
0-1,05/24/20,0
0-1,05/25/20,0
0-1,05/26/20,0
0-1,05/27/20,0
0-1,05/28/20,0
0-1,05/29/20,0
0-1,05/30/20,0
0-1,05/31/20,0
0-1,06/01/20,0
0-1,06/02/20,0
0-1,06/03/20,0
0-1,06/04/20,0
0-1,06/05/20,0
0-1,06/06/20,0
0-1,06/07/20,0
0-1,06/08/20,0
0-1,06/09/20,0
0-1,06/10/20,0
0-1,06/11/20,0
0-1,06/12/20,0
0-1,06/13/20,0
0-1,06/14/20,0
0-1,06/15/20,0
0-1,06/16/20,0
0-1,06/17/20,0
0-1,06/18/20,0
0-1,06/19/20,0
0-1,06/20/20,0
0-1,06/21/20,0
0-1,06/22/20,0
0-1,06/23/20,0
0-1,06/24/20,0
0-1,06/25/20,0
0-1,06/26/20,0
0-1,06/27/20,0
0-1,06/28/20,0
0-1,06/29/20,0
0-1,06/30/20,0
0-1,07/01/20,0
0-1,07/02/20,0
0-1,07/03/20,0
0-1,07/04/20,0
0-1,07/05/20,0
0-1,07/06/20,0
0-1,07/07/20,0
0-1,07/08/20,0
0-1,07/09/20,0
0-1,07/10/20,0
0-1,07/11/20,0
0-1,07/12/20,0
0-1,07/13/20,0
0-1,07/14/20,0
0-1,07/15/20,0
0-1,07/16/20,0
0-1,07/17/20,0
0-1,07/18/20,0
0-1,07/19/20,0
0-1,07/20/20,0
0-1,07/21/20,0
0-1,07/22/20,0
0-1,07/23/20,0
0-1,07/24/20,0
0-1,07/25/20,0
0-1,07/26/20,0
0-1,07/27/20,0
0-1,07/28/20,0
0-1,07/29/20,0
0-1,07/30/20,0
0-1,07/31/20,0
0-1,08/01/20,0
0-1,08/02/20,0
0-1,08/03/20,0
0-1,08/04/20,0
0-1,08/05/20,0
0-1,08/06/20,0
0-1,08/07/20,0
0-1,08/08/20,0
0-1,08/09/20,0
0-1,08/10/20,0
0-1,08/11/20,0
0-1,08/12/20,0
0-1,08/13/20,0
0-1,08/14/20,0
0-1,08/15/20,0
0-1,08/16/20,0
0-1,08/17/20,0
0-1,08/18/20,0
0-1,08/19/20,0
0-1,08/20/20,0
0-1,08/21/20,0
0-1,08/22/20,0
0-1,08/23/20,0
0-1,08/24/20,0
0-1,08/25/20,0
0-1,08/26/20,0
0-1,08/27/20,0
0-1,08/28/20,0
0-1,08/29/20,0
0-1,08/30/20,0
0-1,08/31/20,0
0-1,09/01/20,0
0-1,09/02/20,0
0-1,09/03/20,0
0-1,09/04/20,0
0-1,09/05/20,0
0-1,09/06/20,0
0-1,09/07/20,0
0-1,09/08/20,0
0-1,09/09/20,0
0-1,09/10/20,0
0-1,09/11/20,0
0-1,09/12/20,0
0-1,09/13/20,0
0-1,09/14/20,0
0-1,09/15/20,0
0-1,09/16/20,0
0-1,09/17/20,0
0-1,09/18/20,0
0-1,09/19/20,0
0-1,09/20/20,0
0-1,09/21/20,0
0-1,09/22/20,0
0-1,09/23/20,0
0-1,09/24/20,0
0-1,09/25/20,0
0-1,09/26/20,0
0-1,09/27/20,0
0-1,09/28/20,0
0-1,09/29/20,0
0-1,09/30/20,0
0-1,10/01/20,0
0-1,10/02/20,0
0-1,10/03/20,0
0-1,10/04/20,0
0-1,10/05/20,0
0-1,10/06/20,0
0-1,10/07/20,0
0-1,10/08/20,0
0-1,10/09/20,0
0-1,10/10/20,0
0-1,10/11/20,0
0-1,10/12/20,0
0-1,10/13/20,0
0-1,10/14/20,0
0-1,10/15/20,0
0-1,10/16/20,0
0-1,10/17/20,0
0-1,10/18/20,0
0-1,10/19/20,0
0-1,10/20/20,0
0-1,10/21/20,0
0-1,10/22/20,0
0-1,10/23/20,0
0-1,10/24/20,0
0-1,10/25/20,0
0-1,10/26/20,0
0-1,10/27/20,0
0-1,10/28/20,0
0-1,10/29/20,0
0-1,10/30/20,0
0-1,10/31/20,0
0-1,11/01/20,0
0-1,11/02/20,0
0-1,11/03/20,0
0-1,11/04/20,0
0-1,11/05/20,0
0-1,11/06/20,0
0-1,11/07/20,0
0-1,11/08/20,0
0-1,11/09/20,0
0-1,11/10/20,0
0-1,11/11/20,0
0-1,11/12/20,0
0-1,11/13/20,0
0-1,11/14/20,0
0-1,11/15/20,0
0-1,11/16/20,0
0-1,11/17/20,0
0-1,11/18/20,0
0-1,11/19/20,0
0-1,11/20/20,0
0-1,11/21/20,0
0-1,11/22/20,0
0-1,11/23/20,0
0-1,11/24/20,0
0-1,11/25/20,0
0-1,11/26/20,0
0-1,11/27/20,0
0-1,11/28/20,0
0-1,11/29/20,0
0-1,11/30/20,0
0-1,12/01/20,0
0-1,12/02/20,0
0-1,12/03/20,0
0-1,12/04/20,0
0-1,12/05/20,0
0-1,12/06/20,0
0-1,12/07/20,0
0-1,12/08/20,0
0-1,12/09/20,0
0-1,12/10/20,0
0-1,12/11/20,0
0-1,12/12/20,0
0-1,12/13/20,0
0-1,12/14/20,0
0-1,12/15/20,0
0-1,12/16/20,0
0-1,12/17/20,0
0-1,12/18/20,0
0-1,12/19/20,0
0-1,12/20/20,0
0-1,12/21/20,0
0-1,12/22/20,0
0-1,12/23/20,0
0-1,12/24/20,0
0-1,12/25/20,0
0-1,12/26/20,0
0-1,12/27/20,0
0-1,12/28/20,0
0-1,12/29/20,0
0-1,12/30/20,0
0-1,12/31/20,0
0-1,01/01/21,0
0-1,01/02/21,0
0-1,01/03/21,0
0-1,01/04/21,0
0-1,01/05/21,0
0-1,01/06/21,0
0-1,01/07/21,0
0-1,01/08/21,0
0-1,01/09/21,0
0-1,01/10/21,0
0-1,01/11/21,0
0-1,01/12/21,0
0-1,01/13/21,0
0-1,01/14/21,0
0-1,01/15/21,0
0-1,01/16/21,0
0-1,01/17/21,0
0-1,01/18/21,0
0-1,01/19/21,0
0-1,01/20/21,0
0-1,01/21/21,0
0-1,01/22/21,0
0-1,01/23/21,0
0-1,01/24/21,0
0-1,01/25/21,0
0-1,01/26/21,0
0-1,01/27/21,0
0-1,01/28/21,0
0-1,01/29/21,0
0-1,01/30/21,0
0-1,01/31/21,0
0-1,02/01/21,0
0-1,02/02/21,0
0-1,02/03/21,0
0-1,02/04/21,0
0-1,02/05/21,0
0-1,02/06/21,0
0-1,02/07/21,0
0-1,02/08/21,0
0-1,02/09/21,0
0-1,02/10/21,0
0-1,02/11/21,0
0-1,02/12/21,0
0-1,02/13/21,0
0-1,02/14/21,0
0-1,02/15/21,0
0-1,02/16/21,0
0-1,02/17/21,0
0-1,02/18/21,0
0-1,02/19/21,0
0-1,02/20/21,0
0-1,02/21/21,0
0-1,02/22/21,0
0-1,02/23/21,0
0-1,02/24/21,0
0-1,02/25/21,0
0-1,02/26/21,0
0-1,02/27/21,0
0-1,02/28/21,0
0-1,03/01/21,0
0-1,03/02/21,0
0-1,03/03/21,0
0-1,03/04/21,0
0-1,03/05/21,0
0-1,03/06/21,0
0-1,03/07/21,0
0-1,03/08/21,0
0-1,03/09/21,0
0-1,03/10/21,0
0-1,03/11/21,0
0-1,03/12/21,0
0-1,03/13/21,0
0-1,03/14/21,0
0-1,03/15/21,0
0-1,03/16/21,0
0-1,03/17/21,0
0-1,03/18/21,0
0-1,03/19/21,0
0-1,03/20/21,0
0-1,03/21/21,0
0-1,03/22/21,0
0-1,03/23/21,0
0-1,03/24/21,0
0-1,03/25/21,0
0-1,03/26/21,0
0-1,03/27/21,0
0-1,03/28/21,0
0-1,03/29/21,0
0-1,03/30/21,0
0-1,03/31/21,0
0-1,04/01/21,0
0-1,04/02/21,0
0-1,04/03/21,0
0-1,04/04/21,0
0-1,04/05/21,0
0-1,04/06/21,0
0-1,04/07/21,0
0-1,04/08/21,0
0-1,04/09/21,0
0-1,04/10/21,0
0-1,04/11/21,0
0-1,04/12/21,0
0-1,04/13/21,0
0-1,04/14/21,0
0-1,04/15/21,0
0-1,04/16/21,0
0-1,04/17/21,0
0-1,04/18/21,0
0-1,04/19/21,0
0-1,04/20/21,0
0-1,04/21/21,0
0-1,04/22/21,0
0-1,04/23/21,0
0-1,04/24/21,0
0-1,04/25/21,0
0-1,04/26/21,0
0-1,04/27/21,0
0-1,04/28/21,0
0-1,04/29/21,0
0-1,04/30/21,0
0-1,05/01/21,0
0-1,05/02/21,0
0-1,05/03/21,0
0-1,05/04/21,0
0-1,05/05/21,0
0-1,05/06/21,0
0-1,05/07/21,0
0-1,05/08/21,0
0-1,05/09/21,0
0-1,05/10/21,0
0-1,05/11/21,0
0-1,05/12/21,0
0-1,05/13/21,0
0-1,05/14/21,0
0-1,05/15/21,0
0-1,05/16/21,0
0-1,05/17/21,0
0-1,05/18/21,0
0-1,05/19/21,0
0-1,05/20/21,0
0-1,05/21/21,0
0-1,05/22/21,0
0-1,05/23/21,0
0-1,05/24/21,0
0-1,05/25/21,0
0-1,05/26/21,0
0-1,05/27/21,0
0-1,05/28/21,0
0-1,05/29/21,0
0-1,05/30/21,0
0-1,05/31/21,0
0-1,06/01/21,0
0-1,06/02/21,0
0-1,06/03/21,0
0-1,06/04/21,0
0-1,06/05/21,0
0-1,06/06/21,0
0-1,06/07/21,0
0-1,06/08/21,0
0-1,06/09/21,0
0-1,06/10/21,0
0-1,06/11/21,0
0-1,06/12/21,0
0-1,06/13/21,0
0-1,06/14/21,0
0-1,06/15/21,0
0-1,06/16/21,0
0-1,06/17/21,0
0-1,06/18/21,0
0-1,06/19/21,0
0-1,06/20/21,0
0-1,06/21/21,0
0-1,06/22/21,0
0-1,06/23/21,0
0-1,06/24/21,0
0-1,06/25/21,0
0-1,06/26/21,0
0-1,06/27/21,0
0-1,06/28/21,0
0-1,06/29/21,0
0-1,06/30/21,0
0-1,07/01/21,0
0-1,07/02/21,0
0-1,07/03/21,0
0-1,07/04/21,0
0-1,07/05/21,0
0-1,07/06/21,0
0-1,07/07/21,0
0-1,07/08/21,0
0-1,07/09/21,0
0-1,07/10/21,0
0-1,07/11/21,0
0-1,07/12/21,0
0-1,07/13/21,0
0-1,07/14/21,0
0-1,07/15/21,0
0-1,07/16/21,0
0-1,07/17/21,0
0-1,07/18/21,0
0-1,07/19/21,0
0-1,07/20/21,0
0-1,07/21/21,0
0-1,07/22/21,0
0-1,07/23/21,0
0-1,07/24/21,0
0-1,07/25/21,0
0-1,07/26/21,0
0-1,07/27/21,0
0-1,07/28/21,0
0-1,07/29/21,0
0-1,07/30/21,0
0-1,07/31/21,0
0-1,08/01/21,0
0-1,08/02/21,0
0-1,08/03/21,0
0-1,08/04/21,0
0-1,08/05/21,0
0-1,08/06/21,0
0-1,08/07/21,0
0-1,08/08/21,0
0-1,08/09/21,0
0-1,08/10/21,0
0-1,08/11/21,0
0-1,08/12/21,0
0-1,08/13/21,0
0-1,08/14/21,0
0-1,08/15/21,0
0-1,08/16/21,0
0-1,08/17/21,0
0-1,08/18/21,0
0-1,08/19/21,0
0-1,08/20/21,0
0-1,08/21/21,0
0-1,08/22/21,0
0-1,08/23/21,0
0-1,08/24/21,0
0-1,08/25/21,0
0-1,08/26/21,0
0-1,08/27/21,0
0-1,08/28/21,0
0-1,08/29/21,0
0-1,08/30/21,0
0-1,08/31/21,0
0-1,09/01/21,0
0-1,09/02/21,0
0-1,09/03/21,0
0-1,09/04/21,0
0-1,09/05/21,0
0-1,09/06/21,0
0-1,09/07/21,0
0-1,09/08/21,0
0-1,09/09/21,0
0-1,09/10/21,0
0-1,09/11/21,0
0-1,09/12/21,0
0-1,09/13/21,0
0-1,09/14/21,0
0-1,09/15/21,0
0-1,09/16/21,0
0-1,09/17/21,0
0-1,09/18/21,0
0-1,09/19/21,0
0-1,09/20/21,0
0-1,09/21/21,0
0-1,09/22/21,0
0-1,09/23/21,0
0-1,09/24/21,0
0-1,09/25/21,0
0-1,09/26/21,0
0-1,09/27/21,0
0-1,09/28/21,0
0-1,09/29/21,0
0-1,09/30/21,0
0-1,10/01/21,0
0-1,10/02/21,0
0-1,10/03/21,0
0-1,10/04/21,0
0-1,10/05/21,0
0-1,10/06/21,0
0-1,10/07/21,0
0-1,10/08/21,0
0-1,10/09/21,0
0-1,10/10/21,0
0-1,10/11/21,0
0-1,10/12/21,0
0-1,10/13/21,0
0-1,10/14/21,0
0-1,10/15/21,0
0-1,10/16/21,0
0-1,10/17/21,0
0-1,10/18/21,0
0-1,10/19/21,0
0-1,10/20/21,0
0-1,10/21/21,0
0-1,10/22/21,0
0-1,10/23/21,0
0-1,10/24/21,0
0-1,10/25/21,0
0-1,10/26/21,0
0-1,10/27/21,0
0-1,10/28/21,0
0-1,10/29/21,0
0-1,10/30/21,0
0-1,10/31/21,0
0-1,11/01/21,0
0-1,11/02/21,0
0-1,11/03/21,0
0-1,11/04/21,0
0-1,11/05/21,0
0-1,11/06/21,0
0-1,11/07/21,0
0-1,11/08/21,0
0-1,11/09/21,0
0-1,11/10/21,0
0-1,11/11/21,0
0-1,11/12/21,0
0-1,11/13/21,0
0-1,11/14/21,0
0-1,11/15/21,0
0-1,11/16/21,0
0-1,11/17/21,0
0-1,11/18/21,0
0-1,11/19/21,0
0-1,11/20/21,0
0-1,11/21/21,0
0-1,11/22/21,0
0-1,11/23/21,0
0-1,11/24/21,0
0-1,11/25/21,0
0-1,11/26/21,0
0-1,11/27/21,0
0-1,11/28/21,0
0-1,11/29/21,0
0-1,11/30/21,0
0-1,12/01/21,0
0-1,12/02/21,0
0-1,12/03/21,0
0-1,12/04/21,0
0-1,12/05/21,0
0-1,12/06/21,0
0-1,12/07/21,0
0-1,12/08/21,0
0-1,12/09/21,0
0-1,12/10/21,0
0-1,12/11/21,0
0-1,12/12/21,0
0-1,12/13/21,0
0-1,12/14/21,0
0-1,12/15/21,0
0-1,12/16/21,0
0-1,12/17/21,0
0-1,12/18/21,0
0-1,12/19/21,0
0-1,12/20/21,0
0-1,12/21/21,0
0-1,12/22/21,0
0-1,12/23/21,0
0-1,12/24/21,0
0-1,12/25/21,0
0-1,12/26/21,0
0-1,12/27/21,0
0-1,12/28/21,0
0-1,12/29/21,0
0-1,12/30/21,0
0-1,12/31/21,0
0-1,01/01/22,0
0-1,01/02/22,0
0-1,01/03/22,0
0-1,01/04/22,0
0-1,01/05/22,0
0-1,01/06/22,0
0-1,01/07/22,0
0-1,01/08/22,0
0-1,01/09/22,0
0-1,01/10/22,0
0-1,01/11/22,0
0-1,01/12/22,0
0-1,01/13/22,0
0-1,01/14/22,0
0-1,01/15/22,0
0-1,01/16/22,0
0-1,01/17/22,0
0-1,01/18/22,0
0-1,01/19/22,0
0-1,01/20/22,0
0-1,01/21/22,0
0-1,01/22/22,0
0-1,01/23/22,0
0-1,01/24/22,0
0-1,01/25/22,0
0-1,01/26/22,0
0-1,01/27/22,0
0-1,01/28/22,0
0-1,01/29/22,0
0-1,01/30/22,0
0-1,01/31/22,0
0-1,02/01/22,0
0-1,02/02/22,0
0-1,02/03/22,0
0-1,02/04/22,0
0-1,02/05/22,0
0-1,02/06/22,0
0-1,02/07/22,0
0-1,02/08/22,0
0-1,02/09/22,0
0-1,02/10/22,0
0-1,02/11/22,0
0-1,02/12/22,0
0-1,02/13/22,0
0-1,02/14/22,0
0-1,02/15/22,0
0-1,02/16/22,0
0-1,02/17/22,0
0-1,02/18/22,0
0-1,02/19/22,0
0-1,02/20/22,0
0-1,02/21/22,0
0-1,02/22/22,0
0-1,02/23/22,0
0-1,02/24/22,0
0-1,02/25/22,0
0-1,02/26/22,0
0-1,02/27/22,0
0-1,02/28/22,0
0-1,03/01/22,0
0-1,03/02/22,0
0-1,03/03/22,0
0-1,03/04/22,0
0-1,03/05/22,0
0-1,03/06/22,0
0-1,03/07/22,0
0-1,03/08/22,0
0-1,03/09/22,0
0-1,03/10/22,0
0-1,03/11/22,0
0-1,03/12/22,0
0-1,03/13/22,0
0-1,03/14/22,0
0-1,03/15/22,0
0-1,03/16/22,0
0-1,03/17/22,0
0-1,03/18/22,0.1
0-1,03/19/22,0.1
0-1,03/20/22,0.1
0-1,03/21/22,0.1
0-1,03/22/22,0.1
0-1,03/23/22,0.1
0-1,03/24/22,0.1
0-1,03/25/22,0
0-1,03/26/22,0
0-1,03/27/22,0
0-1,03/28/22,0
0-1,03/29/22,0
0-1,03/30/22,0
0-1,03/31/22,0
0-1,04/01/22,0
0-1,04/02/22,0
0-1,04/03/22,0
0-1,04/04/22,0
0-1,04/05/22,0
0-1,04/06/22,0
0-1,04/07/22,0
0-1,04/08/22,0
0-1,04/09/22,0
0-1,04/10/22,0
0-1,04/11/22,0
0-1,04/12/22,0
0-1,04/13/22,0
0-1,04/14/22,0
0-1,04/15/22,0
0-1,04/16/22,0
0-1,04/17/22,0
0-1,04/18/22,0
0-1,04/19/22,0
0-1,04/20/22,0
0-1,04/21/22,0
0-1,04/22/22,0
0-1,04/23/22,0
0-1,04/24/22,0
0-1,04/25/22,0
0-1,04/26/22,0
0-1,04/27/22,0
0-1,04/28/22,0
0-1,04/29/22,0
0-1,04/30/22,0
0-1,05/01/22,0
0-1,05/02/22,0
0-1,05/03/22,0
0-1,05/04/22,0
0-1,05/05/22,0
0-1,05/06/22,0
0-1,05/07/22,0
0-1,05/08/22,0
0-1,05/09/22,0
0-1,05/10/22,0
0-1,05/11/22,0
0-1,05/12/22,0
0-1,05/13/22,0
0-1,05/14/22,0
0-1,05/15/22,0
0-1,05/16/22,0
0-1,05/17/22,0
0-1,05/18/22,0
0-1,05/19/22,0
0-1,05/20/22,0
0-1,05/21/22,0
0-1,05/22/22,0
0-1,05/23/22,0
0-1,05/24/22,0
0-1,05/25/22,0
0-1,05/26/22,0
0-1,05/27/22,0
0-1,05/28/22,0
0-1,05/29/22,0
0-1,05/30/22,0
0-1,05/31/22,0
0-1,06/01/22,0
0-1,06/02/22,0
0-1,06/03/22,0
0-1,06/04/22,0
0-1,06/05/22,0
0-1,06/06/22,0
0-1,06/07/22,0
0-1,06/08/22,0
0-1,06/09/22,0
0-1,06/10/22,0
0-1,06/11/22,0
0-1,06/12/22,0
0-1,06/13/22,0
0-1,06/14/22,0
0-1,06/15/22,0
0-1,06/16/22,0
0-1,06/17/22,0
0-1,06/18/22,0
0-1,06/19/22,0
0-1,06/20/22,0
0-1,06/21/22,0
0-1,06/22/22,0
0-1,06/23/22,0
0-1,06/24/22,0
0-1,06/25/22,0
0-1,06/26/22,0
0-1,06/27/22,0
0-1,06/28/22,0
0-1,06/29/22,0
0-1,06/30/22,0
0-1,07/01/22,0
0-1,07/02/22,0
0-1,07/03/22,0
0-1,07/04/22,0
0-1,07/05/22,0
0-1,07/06/22,0
0-1,07/07/22,0
0-1,07/08/22,0
0-1,07/09/22,0
0-1,07/10/22,0
0-1,07/11/22,0
0-1,07/12/22,0
0-1,07/13/22,0
0-1,07/14/22,0
0-1,07/15/22,0
0-1,07/16/22,0
0-1,07/17/22,0
0-1,07/18/22,0
0-1,07/19/22,0
0-1,07/20/22,0
0-1,07/21/22,0
0-1,07/22/22,0
0-1,07/23/22,0
0-1,07/24/22,0
0-1,07/25/22,0
0-1,07/26/22,0
0-1,07/27/22,0
0-1,07/28/22,0
0-1,07/29/22,0
0-1,07/30/22,0
0-1,07/31/22,0
0-1,08/01/22,0
0-1,08/02/22,0
0-1,08/03/22,0
0-1,08/04/22,0
0-1,08/05/22,0
0-1,08/06/22,0
0-1,08/07/22,0
0-1,08/08/22,0
0-1,08/09/22,0
0-1,08/10/22,0
0-1,08/11/22,0
0-1,08/12/22,0
0-1,08/13/22,0
0-1,08/14/22,0
0-1,08/15/22,0
0-1,08/16/22,0
0-1,08/17/22,0
0-1,08/18/22,0
0-1,08/19/22,0
0-1,08/20/22,0
0-1,08/21/22,0
0-1,08/22/22,0
0-1,08/23/22,0
0-1,08/24/22,0
0-1,08/25/22,0
0-1,08/26/22,0
0-1,08/27/22,0
0-1,08/28/22,0
0-1,08/29/22,0
0-1,08/30/22,0
0-1,08/31/22,0
0-1,09/01/22,0
0-1,09/02/22,0
0-1,09/03/22,0
0-1,09/04/22,0
0-1,09/05/22,0
0-1,09/06/22,0
0-1,09/07/22,0
0-1,09/08/22,0
0-1,09/09/22,0
0-1,09/10/22,0
0-1,09/11/22,0
0-1,09/12/22,0
0-1,09/13/22,0
0-1,09/14/22,0
0-1,09/15/22,0
0-1,09/16/22,0
0-1,09/17/22,0
0-1,09/18/22,0
0-1,09/19/22,0
0-1,09/20/22,0
0-1,09/21/22,0
0-1,09/22/22,0
0-1,09/23/22,0
0-1,09/24/22,0
0-1,09/25/22,0
0-1,09/26/22,0
0-1,09/27/22,0
0-1,09/28/22,0
0-1,09/29/22,0
0-1,09/30/22,0
0-1,10/01/22,0
0-1,10/02/22,0
0-1,10/03/22,0
0-1,10/04/22,0
0-1,10/05/22,0
0-1,10/06/22,0
0-1,10/07/22,0
0-1,10/08/22,0
0-1,10/09/22,0
0-1,10/10/22,0
0-1,10/11/22,0
0-1,10/12/22,0
0-1,10/13/22,0
0-1,10/14/22,0
0-1,10/15/22,0
0-1,10/16/22,0
0-1,10/17/22,0
0-1,10/18/22,0
0-1,10/19/22,0
0-1,10/20/22,0
0-1,10/21/22,0
0-1,10/22/22,0
0-1,10/23/22,0
0-1,10/24/22,0
0-1,10/25/22,0
0-1,10/26/22,0
0-1,10/27/22,0
0-1,10/28/22,0
0-1,10/29/22,0
0-1,10/30/22,0
0-1,10/31/22,0
0-1,11/01/22,0
0-1,11/02/22,0
0-1,11/03/22,0
0-1,11/04/22,0
0-1,11/05/22,0
0-1,11/06/22,0
0-1,11/07/22,0
0-1,11/08/22,0
0-1,11/09/22,0.1
0-1,11/10/22,0.1
0-1,11/11/22,0.1
0-1,11/12/22,0.1
0-1,11/13/22,0.1
0-1,11/14/22,0.1
0-1,11/15/22,0.1
0-1,11/16/22,0
0-1,11/17/22,0
0-1,11/18/22,0
0-1,11/19/22,0
0-1,11/20/22,0
0-1,11/21/22,0
0-1,11/22/22,0
0-1,11/23/22,0
0-1,11/24/22,0
0-1,11/25/22,0
0-1,11/26/22,0
0-1,11/27/22,0
0-1,11/28/22,0
0-1,11/29/22,0
0-1,11/30/22,0
0-1,12/01/22,0
0-1,12/02/22,0
0-1,12/03/22,0
0-1,12/04/22,0
0-1,12/05/22,0
0-1,12/06/22,0
0-1,12/07/22,0
0-1,12/08/22,0
0-1,12/09/22,0
0-1,12/10/22,0
0-1,12/11/22,0
0-1,12/12/22,0
0-1,12/13/22,0
0-1,12/14/22,0
0-1,12/15/22,0
0-1,12/16/22,0
0-1,12/17/22,0
0-1,12/18/22,0
0-1,12/19/22,0
0-1,12/20/22,0
0-1,12/21/22,0
0-1,12/22/22,0
0-1,12/23/22,0
0-1,12/24/22,0
0-1,12/25/22,0
0-1,12/26/22,0
0-1,12/27/22,0
0-1,12/28/22,0
0-1,12/29/22,0
0-1,12/30/22,0
0-1,12/31/22,0
0-1,01/01/23,0
0-1,01/02/23,0
0-1,01/03/23,0
0-1,01/04/23,0
0-1,01/05/23,0
0-1,01/06/23,0
0-1,01/07/23,0
0-1,01/08/23,0
0-1,01/09/23,0
0-1,01/10/23,0
0-1,01/11/23,0
0-1,01/12/23,0
0-1,01/13/23,0
0-1,01/14/23,0
0-1,01/15/23,0
0-1,01/16/23,0
0-1,01/17/23,0
0-1,01/18/23,0
0-1,01/19/23,0
0-1,01/20/23,0
0-1,01/21/23,0
0-1,01/22/23,0
0-1,01/23/23,0
0-1,01/24/23,0
0-1,01/25/23,0
0-1,01/26/23,0
0-1,01/27/23,0
0-1,01/28/23,0
0-1,01/29/23,0
0-1,01/30/23,0
0-1,01/31/23,0
0-1,02/01/23,0
0-1,02/02/23,0
0-1,02/03/23,0
0-1,02/04/23,0
0-1,02/05/23,0
0-1,02/06/23,0
0-1,02/07/23,0
0-1,02/08/23,0
0-1,02/09/23,0
0-1,02/10/23,0
0-1,02/11/23,0
0-1,02/12/23,0
0-1,02/13/23,0
0-1,02/14/23,0
0-1,02/15/23,0
0-1,02/16/23,0
0-1,02/17/23,0
0-1,02/18/23,0
0-1,02/19/23,0
0-1,02/20/23,0
0-1,02/21/23,0
0-1,02/22/23,0
0-1,02/23/23,0
0-1,02/24/23,0
0-1,02/25/23,0
0-1,02/26/23,0
0-1,02/27/23,0
0-1,02/28/23,0
0-1,03/01/23,0
0-1,03/02/23,0
0-1,03/03/23,0
0-1,03/04/23,0
0-1,03/05/23,0
0-1,03/06/23,0
0-1,03/07/23,0
0-1,03/08/23,0
0-1,03/09/23,0
0-1,03/10/23,0
0-1,03/11/23,0
0-1,03/12/23,0
0-1,03/13/23,0
0-1,03/14/23,0
0-1,03/15/23,0
0-1,03/16/23,0
0-1,03/17/23,0
0-1,03/18/23,0
0-1,03/19/23,0
0-1,03/20/23,0
0-1,03/21/23,0
0-1,03/22/23,0
0-1,03/23/23,0
0-1,03/24/23,0
0-1,03/25/23,0
0-1,03/26/23,0
0-1,03/27/23,0
0-1,03/28/23,0
0-1,03/29/23,0
0-1,03/30/23,0
0-1,03/31/23,0
0-1,04/01/23,0
0-1,04/02/23,0
0-1,04/03/23,0
0-1,04/04/23,0
0-1,04/05/23,0
0-1,04/06/23,0
0-1,04/07/23,0
0-1,04/08/23,0
0-1,04/09/23,0
0-1,04/10/23,0
0-1,04/11/23,0
0-1,04/12/23,0
0-1,04/13/23,0
0-1,04/14/23,0
0-1,04/15/23,0
0-1,04/16/23,0
0-1,04/17/23,0
0-1,04/18/23,0
0-1,04/19/23,0
0-1,04/20/23,0
0-1,04/21/23,0
0-1,04/22/23,0
0-1,04/23/23,0
0-1,04/24/23,0
0-1,04/25/23,0
0-1,04/26/23,0
0-1,04/27/23,0
0-1,04/28/23,0
0-1,04/29/23,0
0-1,04/30/23,0
0-1,05/01/23,0
0-1,05/02/23,0
0-1,05/03/23,0
0-1,05/04/23,0
0-1,05/05/23,0
0-1,05/06/23,0
0-1,05/07/23,0
0-1,05/08/23,0
0-1,05/09/23,0
0-1,05/10/23,0
0-1,05/11/23,0
